#index,x,y,phase,chi2,freq
0,106.90,1174.03,0.76,0.53,0.267786
1,1233.57,1082.46,0.81,0.44,0.266494
2,160.96,1195.25,0.96,0.48,0.266604
3,1644.23,834.17,1.56,0.42,0.266544
4,2074.31,1263.92,0.81,0.47,0.267047
5,2091.49,717.25,0.24,0.52,0.264586
6,2348.41,1126.29,0.62,0.50,0.266189
7,1288.49,1122.81,0.86,0.50,0.266073
8,2434.94,833.03,0.16,0.50,0.265741
9,33.37,1175.79,0.74,0.54,0.266324
10,1481.79,940.96,0.78,0.53,0.267089
11,792.81,861.53,0.27,0.52,0.266783
12,1683.21,850.91,1.51,0.43,0.265518
13,2357.04,1071.04,0.85,0.54,0.267746
14,2380.80,1073.04,0.80,0.56,0.265908
15,774.31,1081.09,0.27,0.54,0.266160
16,2270.31,1074.09,0.88,0.58,0.265449
17,2410.61,833.84,0.14,0.63,0.266027
18,2438.74,1072.12,1.36,0.52,0.267415
19,774.60,1122.28,1.49,0.53,0.265319
20,9.30,1210.75,1.42,0.49,0.266035
21,434.29,1174.31,1.33,0.52,0.266593
22,1875.86,506.75,0.41,0.59,0.268208
23,48.81,1248.95,1.89,0.74,0.268406
24,1566.80,943.01,0.88,0.66,0.264787
25,1288.87,1081.28,0.77,0.63,0.266300
26,519.81,1256.12,0.09,0.66,0.265924
27,1422.48,977.02,1.45,0.75,0.265982
28,695.71,1122.74,1.17,0.72,0.266656
29,693.66,1081.51,0.52,0.75,0.267502
30,2291.10,1074.02,0.81,0.75,0.266713
31,920.31,241.23,1.27,0.72,0.269009
32,1233.84,1122.67,1.08,0.70,0.268998
33,2117.12,502.52,0.28,0.75,0.269827
34,1418.51,945.80,0.76,0.74,0.266451
35,981.91,565.28,0.39,0.74,0.269636
36,1794.58,1449.99,0.16,0.81,0.265358
37,1174.69,1467.05,0.91,0.74,0.264910
38,1045.87,239.89,1.33,0.83,0.266641
39,1322.42,736.17,0.23,0.78,0.266523
40,1783.66,573.42,0.43,0.80,0.266910
41,1531.79,903.42,1.83,0.77,0.266884
42,1291.33,1518.33,0.68,0.84,0.266092
43,1522.98,945.96,0.81,0.79,0.267262
44,2045.54,1273.64,0.74,0.76,0.269277
45,266.03,1260.99,1.19,0.79,0.269280
46,1859.00,1031.73,0.74,0.85,0.270768
47,1415.72,905.26,1.78,0.91,0.265814
48,207.94,1174.50,0.81,0.91,0.266671
49,1596.32,898.91,1.73,0.92,0.267577
50,791.07,1168.08,1.47,0.94,0.261765
51,1482.01,1173.88,1.86,0.91,0.271181
52,2380.79,560.75,0.41,0.96,0.265225
53,1800.10,1429.63,0.20,0.87,0.264821
54,2261.25,1027.55,0.27,0.94,0.265096
57,161.99,825.96,0.63,0.95,0.265753
59,49.82,1105.97,0.38,1.00,0.255799
